Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Anand Ranganathan,@ARanganathan72,2024-06-26T12:27:44.000Z,True,"The six year-old girl child was raped in a most horrendous, devilish, and barbaric manner. Sheikh Asif Alli is offering prayer to God many times a day. He has surrendered before God. The death sentence is commuted to life imprisonment. – From the Orissa High Court judgment",173,1034,1942,20848,[],[],[],https://pbs.twimg.com/profile_images/1712306199528611840/RwpJFg9W_normal.jpg,https://x.com/ARanganathan72/status/1805941011245568381,1805941011245568381
Rahul Gandhi,@RahulGandhi,2024-06-26T11:41:54.000Z,True,"आपकी शुभकामनाओं के लिए बहुत बहुत धन्यवाद  जी।

भारत जोड़ो यात्रा से निकली हर एक गरीब और वंचित की आवाज़ को संसद में हम मिल कर बुलंद करेंगे और उन्हें न्याय, हक़ और हिस्सेदारी दिलाएंगे।",184,1257,6319,81443,[],['@PawarSpeaks'],[],https://pbs.twimg.com/profile_images/1744218382612971520/zmlYm9Rf_normal.jpg,https://x.com/RahulGandhi/status/1805929474896371731,1805929474896371731
Nature is Amazing,@AMAZlNGNATURE,2024-06-26T08:43:05.000Z,True,"""Look Mom, I'm scaring them!""",265,6309,73656,1698662,[],[],[],https://pbs.twimg.com/profile_images/992795937574604802/FMGk7GZN_normal.jpg,https://x.com/AMAZlNGNATURE/status/1805884476775354424,1805884476775354424
Sudhanidhi Bandyopadhyay,@SudhanidhiB,2024-06-26T10:14:10.000Z,True,Flawed planning and rushed decision. CM Mamata Banerjee's hawker eviction drive is now only leaving the Bengali locals devoid of their sole income source. Request Adminstration to sit down & come out with a proper planning in identifying the real illegals.,41,108,393,9243,[],[],[],https://pbs.twimg.com/profile_images/1800337916763508736/9028pA-N_normal.jpg,https://x.com/SudhanidhiB/status/1805907396549881991,1805907396549881991
Vikram Pratap Singh,@VIKRAMPRATAPSIN,2024-06-25T17:33:13.000Z,True,"We Hindus are safe just because one man . 
MODI 

Is there for us .",25,167,1018,6461,[],[],[],https://pbs.twimg.com/profile_images/1559536741811638277/Rzh8E2qI_normal.jpg,https://x.com/VIKRAMPRATAPSIN/status/1805655501390463025,1805655501390463025
Indra Gautam,@IndraKu42936167,2024-06-26T13:04:51.000Z,False,True,0,0,0,View,[],[],[],https://pbs.twimg.com/profile_images/1802383869020450816/ctxdokwJ_normal.jpg,https://x.com/IndraKu42936167/status/1805950351700615549,1805950351700615549
(RJ) Chanda Jha (Mithi),@chandaj29710249,2024-06-26T12:48:55.000Z,False,"""रूह का जिस्म में बसर ही तो है.. जिंदगी क्या है... कुछ लम्हों का सफर ही तो है"" ",4,2,13,81,[],[],"['\\u2665\\ufe0f', '\\u2665\\ufe0f']",https://pbs.twimg.com/profile_images/1805147803628224513/qbHsALYQ_normal.jpg,https://x.com/chandaj29710249/status/1805946344084848908,1805946344084848908
Julie Bindel,@bindelj,2024-06-26T07:29:32.000Z,True,"Feminist Thought for the Day:
'Why does Mridul Wadhwa still have a job with Edinburgh Rape Crisis?",64,368,1685,33350,[],[],[],https://pbs.twimg.com/profile_images/1763889898182889472/DfUxduPZ_normal.jpg,https://x.com/bindelj/status/1805865968033255676,1805865968033255676
MЄЄƝƛ ƖƳЄƦ,@Maha_Periyavaa,2024-06-26T12:02:13.000Z,False,"எங்கும் காணக்கிடைக்காத சிவபெருமான் உள்ளங்கால் தரிசனம்..!!
வழுவூர் கரி உரித்த சிவாலயம்..
அருள்மிகு வீரட்டேஸ்வரர் திருக்கோவில்...#மகேஷ்வரா ...",4,8,71,462,['#மகேஷ்வரா'],[],[],https://pbs.twimg.com/profile_images/1803637975806517248/1uHykXZc_normal.jpg,https://x.com/Maha_Periyavaa/status/1805934589153865732,1805934589153865732
ocean jain,@ocjain4,2024-06-25T16:05:11.000Z,True,Follow with 100% fb    ,318,461,362,11937,[],"['@hanumansharma_', '@skpd01', '@Patidar_691', '@imlalitrajputs', '', '', '', '', '', '', '', '', '']",[],https://pbs.twimg.com/profile_images/1733399853659820032/iTjCmDhA_normal.jpg,https://x.com/ocjain4/status/1805633347009306971,1805633347009306971
KV Iyyer - BHARAT,@BanCheneProduct,2024-06-26T13:11:06.000Z,True,,0,0,1,7,[],[],"['\\U0001f44d', '\\U0001f44d']",https://pbs.twimg.com/profile_images/1711039593502707712/dKQf7oRf_normal.jpg,https://x.com/BanCheneProduct/status/1805951926309183570,1805951926309183570
Kiren Rijiju,@KirenRijiju,2024-06-26T10:02:43.000Z,True,"I'm deeply saddened by the demise of the respected Mother of Hon’ble CM of Shri  ji. 
My heartfelt condolences to my brother, his family & friends during this difficult time. May her soul rest in peace. 
ॐ शांति।।",158,175,1052,13715,[],['@PemaKhanduBJP'],[],https://pbs.twimg.com/profile_images/1745819478041268224/5DASflFz_normal.jpg,https://x.com/KirenRijiju/status/1805904517474701745,1805904517474701745
KV Iyyer - BHARAT,@BanCheneProduct,2024-06-26T13:12:52.000Z,True,Om Shanti ,0,0,0,1,[],[],['\\U0001f64f'],https://pbs.twimg.com/profile_images/1711039593502707712/dKQf7oRf_normal.jpg,https://x.com/BanCheneProduct/status/1805952367827009960,1805952367827009960
Kreately.in,@KreatelyMedia,2024-06-26T07:36:24.000Z,True,Koi Shak?,47,2797,10026,163380,[],[],[],https://pbs.twimg.com/profile_images/1689941696270745601/GTKnun_q_normal.jpg,https://x.com/KreatelyMedia/status/1805867695948399040,1805867695948399040
BhikuMhatre,@MumbaichaDon,2024-06-26T12:06:41.000Z,True,"Blast from the Past!

""Responsibility must be Collective & NOT Selective""Today’s Blast!

""When you point 1 finger at someone,  rest fingers are pointed at yourself""

.",22,265,991,13107,[],['@iChiragPaswan'],"['\\U0001f525', '\\U0001f525']",https://pbs.twimg.com/profile_images/1563753346775019521/vZ3gkGbH_normal.jpg,https://x.com/MumbaichaDon/status/1805935712254283790,1805935712254283790
Standard News,@standardnews,2024-06-26T13:14:09.000Z,False,"The betting ""scandal"" makes no sense to the City",0,0,0,11,[],[],[],https://pbs.twimg.com/profile_images/1714272149232627712/ltq5MVVM_normal.jpg,https://x.com/standardnews/status/1805952690922401829,1805952690922401829
UNDP Afghanistan,@UNDPaf,2024-06-26T13:14:12.000Z,True,"Productive day at the  Advocacy Event on NGOs/CSOs in AFG! With 700 NGOs participating, the Networking Platform is now a vital resource for knowledge sharing & support. Today's discussions highlighted the resilience & adaptability of NGOs in challenging circumstances.",0,0,0,3,[],['@UNDPaf'],[],https://pbs.twimg.com/profile_images/1734659978764627968/JwYiCDoB_normal.jpg,https://x.com/UNDPaf/status/1805952704574849372,1805952704574849372
Naomi Canton,@naomi2009,2024-06-25T14:50:11.000Z,True,"Given that around 1,000 op-eds appeared in the western media ahead of the Indian elections, just wondered, how many op-eds have appeared in the Indian media about the UK elections? How much are people talking about them in India? Do the UK elections matter?",136,140,406,15218,[],[],[],https://pbs.twimg.com/profile_images/751356296176304129/p4YH5wdi_normal.jpg,https://x.com/naomi2009/status/1805614472347767206,1805614472347767206
Rajdeep Sardesai,@sardesairajdeep,2024-06-26T13:19:36.000Z,True,"Fact check: During Congress-led UPA-I (2004-09) and UPA-II (2009-14) governments, Deputy Speaker’s post was with Opposition — first with Charanjit Singh Atwal of Shiromani Akali Dal, and then with Kariya Munda of BJP.
When Atal Bihari Vajpayee was Prime Minister from 1999 to",30,44,203,50,[],[],[],https://pbs.twimg.com/profile_images/1554800330390802434/PNHHoWtm_normal.jpg,https://x.com/sardesairajdeep/status/1805954063525454142,1805954063525454142
